,Company,Date,Open,High,Low,Adj Close,Volume,H-L,O-AdjC,7 Day MA,14 Day MA,21 Day MA,7 Days Standard Deviation,Increase
2,VLGEA,2010-01-06,27.1,27.5,27.0,16.690029,20000,0.5,10.409971000000002,11014.285714285714,14771.42857142857,12966.666666666666,4761.580941370679,True
1061,BIG,2014-03-24,38.0,38.330002,37.150002,30.373896,892400,1.1799999999999997,7.6261040000000015,1213485.7142857143,1214000.0,1179347.619047619,347663.89117147296,False
1505,COST,2015-12-24,161.850006,162.330002,161.440002,142.54071,491000,0.8900000000000148,19.309296000000018,1473871.4285714286,2010842.857142857,2217700.0,704110.1612558033,False
2365,SPTN,2019-05-29,12.42,12.76,12.27,11.044222,273500,0.4900000000000002,1.3757780000000004,344400.0,283750.0,328828.5714285714,157061.91681717665,False
724,TGT,2012-11-16,62.369999,62.66,61.889999,47.936237,3858000,0.7700009999999935,14.433762000000002,4538200.0,4932778.571428572,4942904.761904762,1347944.517722129,True
190,BIG,2010-10-05,33.5,33.57,32.93,26.701784,2011800,0.6400000000000006,6.798216,1742285.7142857143,1535485.7142857143,1658433.3333333333,574648.6887744581,False
1857,IMKTA,2017-05-19,37.599998,38.200001,37.5,34.851276,49700,0.7000010000000003,2.7487220000000008,51114.28571428572,57092.857142857145,66904.76190476191,11017.444423851344,False
2213,TGT,2018-10-17,85.559998,85.949997,83.540001,78.116791,4191800,2.4099959999999925,7.443206999999987,4606700.0,4847671.428571428,4815523.80952381,675610.35050855,False
1663,SPTN,2016-08-11,31.280001,31.52,30.549999,25.039228,252700,0.9700009999999999,6.240772999999997,217771.42857142858,214728.57142857142,191638.09523809524,101017.54747547171,True
505,KR,2012-01-04,12.27,12.295,12.125,10.101045,6958400,0.16999999999999993,2.1689550000000004,8103085.714285715,9226685.714285715,9138600.0,1374671.2432210022,True
2374,IMKTA,2019-06-11,30.139999,31.01,30.139999,29.807629,67200,0.870001000000002,0.33237000000000094,61971.42857142857,72264.28571428571,64476.19047619047,16310.79522329695,True
